Titre,Strat,CT,T
Gladiator,"Un seul joueur peut quitter le spawn. Quand il meurt, le suivant y va",X,X
La marche du crabe,Tout le monde prend des Dual Berettas et ne se déplace qu’en étant accroupi,,X
Wati CS:GO,Casque à l’envers,X,X
Dieu de l’Olympe,"Tout le monde prend un Zeus, on ne peut utiliser l’arme principale qu’après un kill avec le Zeus",X,X
Distraction au Deagle,"Deagle + decoy : Dès qu’on voit un ennemi, lancer les 5 decoys et sortir les Deagle",X,
Attention derrière toi !,Se déplacer qu’avec « S »,X,
Juan Deagle,"Si l’adversaire n’est pas tué en un coup, il ne peut être achevé qu’au cut",X,X
Ninja,Tout le monde essaye de ninja defuse,X,
Patate chaude,"on ne peut pas garder la bombe dans son inventaire plus de 5 secondes, ni au sol plus de 5 secondes",,X
Campement,personne ne sort du spawn,X,
M. Président,un des terros peut seulement porter la bombe et planter. Les autres le protègent,,X
Tactiques soviétiques,"Un seul joueur achète une arme, les autres le suivent et ramassent l’arme quand il meurt",X,X
Seulement Zeus ,"Tout le monde achète un Zeus, et garde uniquement son couteau et son Zeus",X,X
Le Believe ,tout le monde prend un Deagle,X,X
Chacun son tour ,"Un joueur achète un Deagle, et le passe à un coéquipier après un tir",X,X
Globetrotter ,"Planter à un site, seulement après être passé par l’autre site",,X
Peekaboo ,tuer une awp seulement avec des pistolets,X,X
Tours jumelles ,"deux couples de tours humaines sur les sites, le dernier doit rush ou ninja defuse",X,
Change d’arme !,"après avoir tué un ennemi, ramasser son arme (pistolet inclus) et n’utiliser que celle-ci",X,X
Krr Krr Poo,fusils à pompe seulement.,X,X
Danse des canards,"Taper ‘+duck’ dans la console au début du round, ‘-duck’ à la fin. Si un des joueurs se lève, les autres doivent le tuer.",X,X
Droit au but,"On ne peut utiliser que la touche Z pour se déplacer. Pas de pas sur le côté, ni en arrière",X,X
Sautez,que des Jumpshots,X,X
Le tour du monde,"Rush A. Dès que vous avez un kill, retournez sur B. Répétez jusqu’à ce qu’un site soit clear, ou que tous les CTs soient éliminés.",,X
Guerres Napoléoniennes,Escouade de 5 joueurs alignés au mid tirant ensemble,X,X
Vampire ,"Tout le monde doit parler avec un accent roumain, et quand il croise un corps, rester 5 sec dessus en faisant « sscchlllp »",X,X
Blitzkrieg ,"5 Tec-9 ou P90, 5x2 flashes. Rush un site en lançant les 10 flash, parce que si vous êtes aveugle, ils le sont aussi",,X
Vérité et équité,"4 membres se séparent en deux paires, chacune sur un site avec des Dual Berrettas et kevlars. Le dernier achète des Dual et un Sawed-Off/Nova et doit clutch",X,X
Le dernier survivant ,"Grenadez-vous/tirez-vous dessus jusqu’à avoir 20HP ou moins, puis jouez le round normalement. Le dernier fait sa meilleure imitation de Mark Wahlberg pour raconter tous les moves qu’il fait",X,X
Diggity,remplacer tous les noms de positions par diggity,X,X
Maniaque,"Une fois que vous avez commencé à tirer, vous devez vider votre chargeur jusqu’au « clic »",X,X
Démineur,Attendre que la bombe soit plantée avant d’aller défendre,X,X
CS:CoD ,Armes à visée seulement,X,X
Rush Anglais,Rush un point un par un,X,X
Corey et Trevor,"Les deux derniers du tableau des scores deviennent Corey et Trevor, et peuvent acheter des smokes et des kevlars. Leur mission est d’ouvrir les sites ou de protéger le Top Fragger (Ricky)",X,X
Max Pain,Dual Berrettas seulement,X,X
Tireur d'élite,"Un joueur achète une awp, les autres donnent juste les infos",X,X
Aaaaaaaahhh,"A chaque fois que vous tirez, vous devez gueuler ""Aaaahhh""",X,X
Les siamois,Tout le monde doit rester collé,X,X
Le tableau des scores,Tab doit rester ouvert pendant tout le round,X,X
Combattre au front,Vous devez utiliser votre front comme tapis de souris,X,X
Rupture de stock,"Vous devez acheter soit une AK-47 soit une M4 uniquement, et utiliser vos munitions au spawn jusqu'à ce qu'il ne vous reste plus qu'un chargeur. Dommage pour les utilisateurs de M4A1-s !",X,X
Chasseur de tête,"Votre équipe ne peut viser que des ""body shots"". Le premier qui touche une tête ne peut rien acheter au round suivant.",X,X
Rage against the machine,"Achetez des M249 ou Negev. Une fois que vous commencez à tirer, vous ne pouvez pas vous arrêter, et vous devez rester en mouvement",X,X
Smoke party,"Rendez-vous tous sur le même site, et cachez vous dans la même smoke. Essayez de ninja defuse",X,
Criquets,"Utilisez des Glock/Famas, et restez au spawn. Quand les ennemis approchent, tout le monde lance une smoke, et spam le changement de mode de feu en courant partout. Renouvellez les smokes",X,X
Retour en zone,Vous ne pouvez pas retourner là où vous êtes déjà allé,X,X
Cirque du soleil,"Faites une pyramide de 5 joueurs (3 en bas1 2 en haut) et restez comme ceci jusqu'à ce que vous soyez découverts ou que le temps se soit écoulé, puis chargez.Gardez ""CHARGEZ !!!"" tapé dans le chat, et tapez entrée quand vous chargez",X,X
