Titre,Strat,CT,T
Gladiator,"Un seul joueur peut quitter le spawn. Quand il meurt, le suivant y va",X,X
La marche du crabe,Achetez seulement des Dual Berettas déplacez-vous qu’en étant accroupi,,X
Wati CS:GO,Casque à l’envers,X,X
Dieu de l’Olympe,"Achetez un Zeus, n'utilisez l’arme principale qu’après avoir tué quelqu'un avec le Zeus",X,X
Distraction au Deagle,"Achetez tous un Deagle et un leurre. Dès qu’un ennem i est vu, lancez les 5 leurres et utilisez vos Deagle",X,
Attention derrière toi !,Déplacez-vous seulement avec « S »,X,
Juan Deagle,"Si l’adversaire n’est pas tué en un coup, il ne peut être achevé qu’au cut",X,X
Ninja,Tout le monde essaye de ninja defuse,X,
Patate chaude,"Vous ne pouvez pas garder la bombe dans votre inventaire plus de 5 secondes, elle ne peut pas non plus rester au sol plus de 5 secondes",,X
Campement,Vous n'avez pas le droit de sortir du spawn,X,
M. Président,"Le meilleur joueur est élu Président. Il peut seulement porter et planter la bombe. Les autres terroristes doivent le protéger, à tout prix",,X
Tactiques soviétiques,"Seulement l'un de vous achète une arme, les autres le suivent et ramassent l’arme quand il meurt",X,X
Seulement Zeus ,"Tout le monde achète un Zeus, et garde uniquement son couteau et son Zeus",X,X
Le Believe ,Tout le monde prend un Deagle,X,X
Chacun son tour ,"L'un de vous achète un Deagle, et le passe à un coéquipier après un tir",X,X
Globetrotter ,Vous ne pouvez planter la bombe à un site seulement après être passé par l'autre site,,X
Peekaboo ,Vous devez essayer de tuer un awper en utilisant uniquement des pistolets,X,X
Tours jumelles ,"Formez une tour de CT sur chaque site, le dernier doit rush ou ninja defuse",X,
Change d’arme !,"Après avoir tué un ennemi, ramassez son arme (pistolet inclus) et n’utilisez que celle-ci",X,X
Krr Krr Poo,Fusils à pompe seulement,X,X
Danse des canards,"Taper ‘+duck’ dans la console au début du round, ‘-duck’ à la fin. Si un des joueurs se met à courir ou marcher debout, les autres doivent le tuer",X,X
Droit au but,"Vous ne pouvez utiliser que la touche Z pour vous déplacer. Pas de pas sur le côté, ni en arrière",X,X
Sautez,Que des Jumpshots,X,X
Le tour du monde,"Rushez le point A. Dès que vous avez tué un CT, retournez sur B. Répétez ce mouvement jusqu’à ce qu’un site soit clear, ou que tous les CTs soient éliminés",,X
Guerres Napoléoniennes,Formez une escouade de 5 joueurs alignés au mid tirant ensemble,X,X
Vampire ,"Parlez avec un accent roumain, et quand vous croisez un corps, restez 5 sec au-dessus en faisant « sscchlllp »",X,X
Blitzkrieg ,"5 Tec-9 ou P90, 5x2 flashes. Rushez un site en lançant les 10 flash, parce que si vous êtes aveugle, ils le sont aussi",,X
Vérité et équité,"4 membres se séparent en deux paires, chacune sur un site avec des Dual Berrettas et kevlars. Le dernier achète des Dual et un Sawed-Off/Nova et doit clutch",X,X
Le dernier survivant ,"Grenadez-vous/tirez-vous dessus jusqu’à avoir 20HP ou moins, puis jouez le round normalement. Le dernier fait sa meilleure imitation de Mark Wahlberg pour raconter tous les moves qu’il fait",X,X
Diggity,Remplacez tous les noms de positions par diggity,X,X
Maniaque,"Une fois que vous avez commencé à tirer, vous devez vider votre chargeur jusqu’au « clic »",X,X
Démineur,Attendez que la bombe soit plantée avant d’aller défendre,X,X
CS:CoD ,Armes à visée seulement,X,X
Rush Anglais,"Rushez un point, en y allant un par un",X,X
Corey et Trevor,"Les deux derniers du tableau des scores deviennent Corey et Trevor, et peuvent acheter des smokes et des kevlars. Leur mission est d’ouvrir les sites ou de protéger le Top Fragger (Ricky)",X,X
Max Pain,Dual Berrettas seulement,X,X
Tireur d'élite,"L'un de vous achète une awp, les autres donnent juste les infos",X,X
